Column A,Column B,Non-Numerical,Missing-Values
320141,978515,hello,
939461,488343,here,
667017,999325,asds,
143189,363313,asds,
298951,518785,dsdsd,
664146,88702,dfffgg,123
809674,467399,vvxcv,454
707676,24408,xcvfg,34643
21285,707202,cvhfb,3245
898630,26141,cvxcv,
417898,755306,bvbv,
857701,635006,xcvx,46745
834559,21979,cvvvc,
282096,929669,nghdfgn,456
417848,916178,xcvbxcv,
289974,575637,xcvbdfb,
659077,459614,xcvxb,
25,1234,,123
546165,550106,gbdfgh,35345345
407511,253764,cvbgs,
269915,672036,xcvbs,
813105,373102,xcvb,345
93895,810301,cxvb,
25,1234,,123
25,1234,,123
